f0,f1,f2,s0,s1,s2
256,364,796,0,0,0
364,796,836,0,0,0
796,836,1732,0,0,0
836,1732,888,0,0,0
1732,888,836,0,0,0
888,836,856,0,0,0
836,856,844,0,0,0
856,844,828,0,0,0
844,828,820,0,0,0
828,820,820,0,0,0
820,820,820,0,0,0
820,820,848,0,0,0
820,848,868,0,0,0
848,868,684,0,0,0
868,684,820,0,0,0
684,820,820,0,0,0
820,820,824,0,0,0
820,824,696,0,0,0
824,696,128,0,0,0
696,128,792,0,0,0
128,792,800,0,0,0
792,800,788,0,0,0
800,788,776,0,0,0
788,776,796,0,0,0
776,796,848,0,0,0
796,848,820,0,0,0
848,820,848,0,0,0
820,848,868,0,0,0
848,868,884,0,0,0
868,884,856,0,0,0
884,856,888,0,0,0
856,888,904,0,0,0
888,904,884,0,0,0
904,884,868,0,0,0
884,868,876,0,0,0
868,876,880,0,0,0
876,880,856,0,0,0
880,856,872,0,0,0
856,872,896,0,0,0
872,896,900,0,0,0
896,900,868,0,0,0
900,868,844,0,0,0
868,844,852,0,0,0
844,852,872,0,0,0
852,872,820,0,0,0
872,820,788,0,0,0
820,788,840,0,0,0
788,840,772,0,0,0
840,772,852,0,0,0
772,852,852,0,0,0
852,852,856,0,0,0
852,856,864,0,0,0
856,864,832,0,0,0
864,832,820,0,0,0
832,820,796,0,0,0
820,796,804,0,0,0
796,804,808,0,0,0
804,808,816,0,0,0
808,816,832,0,0,0
816,832,844,0,0,0
832,844,856,0,0,0
844,856,824,0,0,0
856,824,872,0,0,0
824,872,864,0,0,0
872,864,876,0,0,0
864,876,840,0,0,0
876,840,888,0,0,0
840,888,940,0,0,0
888,940,960,0,0,0
940,960,964,0,0,0
960,964,900,0,0,0
964,900,916,0,0,0
900,916,916,0,0,0
916,916,916,0,0,0
916,916,884,0,0,0
916,884,860,0,0,0
884,860,868,0,0,0
860,868,892,0,0,0
868,892,840,0,0,0
892,840,832,0,0,0
840,832,344,0,0,0
832,344,516,0,0,0
344,516,836,0,0,0
516,836,488,0,0,0
836,488,340,0,0,0
488,340,236,0,0,0
340,236,676,0,0,0
236,676,832,0,0,0
676,832,788,0,0,0
832,788,800,0,0,0
788,800,796,0,0,0
800,796,776,0,0,0
796,776,784,0,0,0
776,784,804,0,0,0
784,804,788,0,0,0
804,788,820,0,0,0
788,820,880,0,0,0
820,880,924,0,0,0
880,924,920,0,0,0
924,920,956,0,0,0
920,956,984,0,0,0
956,984,960,0,0,0
984,960,920,0,0,0
960,920,868,0,0,0
920,868,880,0,0,0
868,880,920,0,0,0
880,920,924,0,0,0
920,924,852,0,0,0
924,852,880,0,0,0
852,880,852,0,0,0
880,852,848,0,0,0
852,848,1688,0,0,0
848,1688,832,0,0,0
1688,832,1632,0,0,0
832,1632,800,0,0,0
1632,800,808,0,0,0
800,808,796,0,0,0
808,796,848,0,0,0
796,848,640,0,0,0
848,640,116,0,0,0
640,116,820,0,0,0
116,820,824,0,0,0
820,824,812,0,0,0
824,812,796,0,0,0
812,796,812,0,0,0
796,812,820,0,0,0
812,820,812,0,0,0
820,812,792,0,0,0
812,792,832,0,0,0
792,832,844,0,0,0
832,844,900,0,0,0
844,900,888,0,0,0
900,888,856,0,0,0
888,856,888,0,0,0
856,888,912,0,0,0
888,912,1172,0,0,0
912,1172,248,0,0,0
1172,248,136,0,0,0
248,136,1844,0,0,0
136,1844,388,0,0,0
1844,388,440,0,0,0
388,440,440,0,0,0
440,440,364,0,0,0
440,364,780,0,0,0
364,780,1584,0,0,0
780,1584,820,0,0,0
1584,820,820,0,0,0
820,820,840,0,0,0
820,840,872,0,0,0
840,872,824,0,0,0
872,824,824,0,0,0
824,824,844,0,0,0
824,844,316,0,0,0
844,316,512,0,0,0
316,512,580,0,0,0
512,580,200,0,0,0
580,200,784,0,0,0
200,784,852,0,0,0
784,852,752,0,0,0
852,752,808,0,0,0
752,808,820,0,0,0
808,820,844,0,0,0
820,844,832,0,0,0
844,832,792,0,0,0
832,792,200,0,0,0
792,200,536,0,0,0
200,536,756,0,0,0
536,756,728,0,0,0
756,728,716,0,0,0
728,716,704,0,0,0
716,704,692,0,0,0
704,692,696,0,0,0
692,696,692,0,0,0
696,692,700,0,0,0
692,700,688,0,0,0
700,688,688,0,0,0
688,688,692,0,0,0
688,692,700,0,0,0
692,700,688,0,0,0
700,688,692,0,0,0
688,692,700,0,0,0
692,700,704,0,0,0
700,704,696,0,0,0
704,696,720,0,0,0
696,720,740,0,0,0
720,740,760,0,0,0
740,760,724,0,0,0
760,724,740,0,0,0
724,740,736,0,0,0
740,736,732,0,0,0
736,732,760,0,0,0
732,760,792,0,0,0
760,792,780,0,0,0
792,780,776,0,0,0
780,776,804,0,0,0
776,804,772,0,0,0
804,772,744,0,0,0
772,744,756,0,0,0
744,756,756,0,0,0
756,756,728,0,0,0
756,728,804,0,0,0
728,804,792,0,0,0
804,792,732,0,0,0
792,732,792,0,0,0
732,792,840,0,0,0
792,840,832,0,0,0
840,832,776,0,0,0
832,776,796,0,0,0
776,796,836,0,0,0
796,836,780,0,0,0
836,780,724,0,0,0
780,724,780,0,0,0
724,780,824,0,0,0
780,824,824,0,0,0
824,824,820,0,0,0
824,820,800,0,0,0
820,800,796,0,0,0
800,796,772,0,0,0
796,772,788,0,0,0
772,788,808,0,0,0
788,808,832,0,0,0
808,832,848,0,0,0
832,848,848,0,0,0
848,848,824,0,0,0
848,824,836,0,0,0
824,836,844,0,0,0
836,844,800,0,0,0
844,800,820,0,0,0
800,820,828,0,0,0
820,828,832,0,0,0
828,832,824,0,0,0
832,824,776,0,0,0
824,776,780,0,0,0
776,780,780,0,0,0
780,780,788,0,0,0
780,788,764,0,0,0
788,764,760,0,0,0
764,760,748,0,0,0
760,748,744,0,0,0
748,744,740,0,0,0
744,740,728,0,0,0
740,728,728,0,0,0
728,728,736,0,0,0
728,736,724,0,0,0
736,724,736,0,0,0
724,736,740,0,0,0
736,740,728,0,0,0
740,728,724,0,0,0
728,724,728,0,0,0
724,728,732,0,0,0
728,732,752,0,0,0
732,752,736,0,0,0
752,736,724,0,0,0
736,724,720,0,0,0
724,720,724,0,0,0
720,724,720,0,0,0
724,720,716,0,0,1
720,716,716,0,1,1
716,716,720,1,1,1
716,720,720,1,1,1
720,720,716,1,1,1
720,716,708,1,1,1
716,708,716,1,1,1
708,716,724,1,1,1
716,724,732,1,1,1
724,732,784,1,1,1
732,784,664,1,1,1
784,664,704,1,1,1
664,704,696,1,1,1
704,696,696,1,1,1
696,696,692,1,1,0
696,692,704,1,0,0
692,704,728,0,0,0
704,728,744,0,0,0
728,744,748,0,0,0
744,748,744,0,0,0
748,744,744,0,0,0
744,744,748,0,0,0
744,748,744,0,0,0
748,744,724,0,0,0
744,724,764,0,0,0
724,764,756,0,0,0
764,756,732,0,0,0
756,732,804,0,0,0
732,804,792,0,0,0
804,792,808,0,0,0
792,808,788,0,0,0
808,788,796,0,0,0
788,796,808,0,0,0
796,808,792,0,0,0
808,792,764,0,0,0
792,764,760,0,0,0
764,760,752,0,0,0
760,752,1520,0,0,0
752,1520,752,0,0,0
1520,752,756,0,0,0
752,756,776,0,0,0
756,776,780,0,0,0
776,780,768,0,0,0
780,768,764,0,0,0
768,764,780,0,0,0
764,780,760,0,0,0
780,760,760,0,0,0
760,760,768,0,0,0
760,768,792,0,0,0
768,792,776,0,0,0
792,776,792,0,0,0
776,792,788,0,0,0
792,788,764,0,0,0
788,764,768,0,0,0
764,768,792,0,0,0
768,792,812,0,0,0
792,812,788,0,0,0
812,788,788,0,0,0
788,788,804,0,0,0
788,804,792,0,0,0
804,792,752,0,0,0
792,752,748,0,0,0
752,748,760,0,0,0
748,760,772,0,0,0
760,772,756,0,0,0
772,756,776,0,0,0
756,776,780,0,0,0
776,780,772,0,0,0
780,772,788,0,0,0
772,788,800,0,0,0
788,800,800,0,0,0
800,800,760,0,0,0
800,760,764,0,0,0
760,764,764,0,0,0
764,764,764,0,0,0
764,764,752,0,0,0
764,752,768,0,0,0
752,768,788,0,0,0
768,788,776,0,0,0
788,776,752,0,0,0
776,752,764,0,0,0
752,764,772,0,0,0
764,772,780,0,0,0
772,780,792,0,0,0
780,792,764,0,0,0
792,764,760,0,0,0
764,760,768,0,0,0
760,768,784,0,0,0
768,784,752,0,0,0
784,752,768,0,0,0
752,768,788,0,0,0
768,788,776,0,0,0
788,776,784,0,0,0
776,784,804,0,0,0
784,804,808,0,0,0
804,808,764,0,0,0
808,764,772,0,0,0
764,772,776,0,0,0
772,776,800,0,0,0
776,800,816,0,0,0
800,816,796,0,0,0
816,796,780,0,0,0
796,780,784,0,0,0
780,784,1592,0,0,0
784,1592,776,0,0,0
1592,776,788,0,0,0
776,788,764,0,0,0
788,764,756,0,0,0
764,756,768,0,0,0
756,768,776,0,0,0
768,776,784,0,0,0
776,784,788,0,0,0
784,788,792,0,0,0
788,792,760,0,0,0
792,760,736,0,0,0
760,736,760,0,0,0
736,760,796,0,0,0
760,796,824,0,0,0
796,824,836,0,0,0
824,836,796,0,0,0
836,796,788,0,0,0
796,788,808,0,0,0
788,808,820,0,0,0
808,820,776,0,0,0
820,776,764,0,0,0
776,764,1532,0,0,0
764,1532,760,0,0,0
1532,760,784,0,0,0
760,784,820,0,0,0
784,820,836,0,0,0
820,836,836,0,0,0
836,836,796,0,0,0
836,796,792,0,0,0
796,792,820,0,0,0
792,820,804,0,0,0
820,804,812,0,0,0
804,812,820,0,0,0
812,820,824,0,0,0
820,824,796,0,0,0
824,796,824,0,0,0
796,824,840,0,0,0
824,840,848,0,0,0
840,848,828,0,0,0
848,828,840,0,0,0
828,840,804,0,0,0
840,804,816,0,0,0
804,816,816,0,0,0
816,816,796,0,0,0
816,796,776,0,0,0
796,776,784,0,0,0
776,784,756,0,0,0
784,756,736,0,0,0
756,736,732,0,0,0
736,732,756,0,0,0
732,756,736,0,0,0
756,736,732,0,0,0
736,732,720,0,0,0
732,720,724,0,0,0
720,724,732,0,0,0
724,732,740,0,0,0
732,740,736,0,0,0
740,736,752,0,0,0
736,752,772,0,0,0
752,772,780,0,0,0
772,780,784,0,0,0
780,784,800,0,0,0
784,800,804,0,0,0
800,804,816,0,0,0
804,816,832,0,0,0
816,832,836,0,0,0
832,836,816,0,0,0
836,816,812,0,0,0
816,812,796,0,0,0
812,796,764,0,0,0
796,764,780,0,0,0
764,780,796,0,0,0
780,796,820,0,0,0
796,820,812,0,0,0
820,812,772,0,0,0
812,772,760,0,0,0
772,760,756,0,0,0
760,756,748,0,0,0
756,748,760,0,0,0
748,760,764,0,0,0
760,764,760,0,0,0
764,760,1604,0,0,0
760,1604,808,0,0,0
1604,808,828,0,0,0
808,828,840,0,0,0
828,840,828,0,0,0
840,828,852,0,0,0
828,852,868,0,0,0
852,868,844,0,0,0
868,844,800,0,0,0
844,800,812,0,0,0
800,812,844,0,0,0
812,844,1692,0,0,0
844,1692,836,0,0,0
1692,836,864,0,0,0
836,864,876,0,0,0
864,876,840,0,0,0
876,840,844,0,0,0
840,844,888,0,0,0
844,888,908,0,0,0
888,908,904,0,0,0
908,904,852,0,0,0
904,852,864,0,0,0
852,864,884,0,0,0
864,884,908,0,0,0
884,908,896,0,0,0
908,896,888,0,0,0
896,888,852,0,0,0
888,852,848,0,0,0
852,848,860,0,0,0
848,860,872,0,0,0
860,872,808,0,0,0
872,808,824,0,0,0
808,824,824,0,0,0
824,824,820,0,0,0
824,820,792,0,0,0
820,792,796,0,0,0
792,796,788,0,0,0
796,788,768,0,0,0
788,768,764,0,0,0
768,764,772,0,0,0
764,772,776,0,0,0
772,776,768,0,0,0
776,768,780,0,0,0
768,780,784,0,0,0
780,784,796,0,0,0
784,796,784,0,0,0
796,784,764,0,0,0
784,764,764,0,0,0
764,764,768,0,0,0
764,768,752,0,0,0
768,752,748,0,0,0
752,748,760,0,0,0
748,760,784,0,0,0
760,784,788,0,0,0
784,788,796,0,0,0
788,796,804,0,0,0
796,804,784,0,0,0
804,784,788,0,0,0
784,788,796,0,0,0
788,796,788,0,0,0
796,788,800,0,0,0
788,800,828,0,0,0
800,828,848,0,0,0
828,848,836,0,0,0
848,836,828,0,0,0
836,828,776,0,0,0
828,776,768,0,0,0
776,768,764,0,0,0
768,764,780,0,0,0
764,780,776,0,0,0
780,776,812,0,0,0
776,812,832,0,0,0
812,832,808,0,0,0
832,808,808,0,0,0
808,808,816,0,0,0
808,816,780,0,0,0
816,780,776,0,0,0
780,776,784,0,0,0
776,784,780,0,0,0
784,780,784,0,0,0
780,784,800,0,0,0
784,800,812,0,0,0
800,812,780,0,0,0
812,780,784,0,0,0
780,784,768,0,0,0
784,768,760,0,0,0
768,760,760,0,0,0
760,760,732,0,0,0
760,732,724,0,0,0
732,724,724,0,0,0
724,724,720,0,0,0
724,720,712,0,0,0
720,712,716,0,0,0
712,716,700,0,0,0
716,700,692,0,0,0
700,692,692,0,0,0
692,692,684,0,0,0
692,684,680,0,0,0
684,680,684,0,0,0
680,684,700,0,0,0
684,700,716,0,0,0
700,716,724,0,0,0
716,724,732,0,0,0
724,732,732,0,0,0
732,732,712,0,0,0
732,712,720,0,0,0
712,720,732,0,0,0
720,732,720,0,0,0
732,720,720,0,0,0
720,720,732,0,0,0
720,732,736,0,0,0
732,736,740,0,0,0
736,740,760,0,0,0
740,760,780,0,0,0
760,780,784,0,0,0
780,784,772,0,0,0
784,772,776,0,0,0
772,776,760,0,0,0
776,760,776,0,0,0
760,776,772,0,0,0
776,772,792,0,0,0
772,792,792,0,0,0
792,792,832,0,0,0
792,832,808,0,0,0
832,808,816,0,0,0
808,816,828,0,0,0
816,828,808,0,0,0
828,808,828,0,0,0
808,828,816,0,0,0
828,816,804,0,0,0
816,804,796,0,0,0
804,796,784,0,0,0
796,784,752,0,0,0
784,752,748,0,0,0
752,748,752,0,0,0
748,752,744,0,0,0
752,744,748,0,0,0
744,748,736,0,0,0
748,736,712,0,0,0
736,712,712,0,0,0
712,712,708,0,0,0
712,708,700,0,0,0
708,700,712,0,0,0
700,712,712,0,0,0
712,712,708,0,0,0
712,708,728,0,0,0
708,728,740,0,0,0
728,740,744,0,0,0
740,744,724,0,0,0
744,724,724,0,0,0
724,724,732,0,0,0
724,732,736,0,0,0
732,736,724,0,0,0
736,724,724,0,0,0
724,724,744,0,0,0
724,744,756,0,0,0
744,756,752,0,0,0
756,752,736,0,0,0
752,736,736,0,0,0
736,736,732,0,0,0
736,732,724,0,0,0
732,724,736,0,0,0
724,736,744,0,0,0
736,744,732,0,0,0
744,732,728,0,0,0
732,728,740,0,0,0
728,740,740,0,0,0
740,740,752,0,0,0
740,752,768,0,0,0
752,768,780,0,0,0
768,780,784,0,0,0
780,784,768,0,0,0
784,768,772,0,0,0
768,772,776,0,0,0
772,776,772,0,0,0
776,772,780,0,0,0
772,780,776,0,0,0
780,776,772,0,0,0
776,772,776,0,0,0
772,776,780,0,0,0
776,780,780,0,0,0
780,780,776,0,0,0
780,776,760,0,0,0
776,760,780,0,0,0
760,780,788,0,0,0
780,788,780,0,0,0
788,780,764,0,0,0
780,764,776,0,0,0
764,776,784,0,0,0
776,784,768,0,0,0
784,768,784,0,0,0
768,784,800,0,0,0
784,800,796,0,0,0
800,796,808,0,0,0
796,808,800,0,0,0
808,800,808,0,0,0
800,808,792,0,0,0
808,792,784,0,0,0
792,784,800,0,0,0
784,800,800,0,0,0
800,800,788,0,0,0
800,788,800,0,0,0
788,800,808,0,0,0
800,808,824,0,0,0
808,824,812,0,0,0
824,812,816,0,0,0
812,816,804,0,0,0
816,804,812,0,0,0
804,812,780,0,0,0
812,780,808,0,0,0
780,808,800,0,0,0
808,800,784,0,0,0
800,784,792,0,0,0
784,792,808,0,0,0
792,808,800,0,0,0
808,800,800,0,0,0
800,800,792,0,0,0
800,792,776,0,0,0
792,776,776,0,0,0
776,776,764,0,0,0
776,764,780,0,0,1
764,780,792,0,1,1
780,792,792,1,1,1
792,792,772,1,1,1
792,772,788,1,1,1
772,788,788,1,1,1
788,788,828,1,1,1
788,828,716,1,1,1
828,716,756,1,1,1
716,756,760,1,1,1
756,760,768,1,1,1
760,768,764,1,1,1
768,764,760,1,1,1
764,760,768,1,1,1
760,768,764,1,1,0
768,764,764,1,0,0
764,764,772,0,0,0
764,772,772,0,0,0
772,772,768,0,0,0
772,768,760,0,0,0
768,760,748,0,0,0
760,748,752,0,0,0
748,752,744,0,0,0
752,744,732,0,0,0
744,732,740,0,0,0
732,740,744,0,0,0
740,744,736,0,0,0
744,736,744,0,0,0
736,744,748,0,0,0
744,748,760,0,0,0
748,760,748,0,0,0
760,748,740,0,0,0
748,740,724,0,0,0
740,724,712,0,0,0
724,712,700,0,0,0
712,700,716,0,0,0
700,716,692,0,0,0
716,692,708,0,0,0
692,708,732,0,0,0
708,732,804,0,0,0
732,804,788,0,0,0
804,788,808,0,0,0
788,808,848,0,0,0
808,848,808,0,0,0
848,808,780,0,0,0
808,780,820,0,0,0
780,820,800,0,0,0
820,800,868,0,0,0
800,868,860,0,0,0
868,860,852,0,0,0
860,852,824,0,0,0
852,824,804,0,0,0
824,804,808,0,0,0
804,808,792,0,0,0
808,792,756,0,0,0
792,756,744,0,0,0
756,744,740,0,0,0
744,740,740,0,0,0
740,740,728,0,0,0
740,728,732,0,0,0
728,732,736,0,0,0
732,736,744,0,0,0
736,744,728,0,0,0
744,728,732,0,0,0
728,732,732,0,0,0
732,732,740,0,0,0
732,740,732,0,0,0
740,732,732,0,0,0
732,732,724,0,0,0
732,724,716,0,0,0
724,716,720,0,0,0
716,720,724,0,0,0
720,724,724,0,0,0
724,724,720,0,0,0
724,720,708,0,0,0
720,708,696,0,0,0
708,696,684,0,0,0
696,684,684,0,0,0
684,684,672,0,0,0
684,672,652,0,0,0
672,652,648,0,0,0
652,648,664,0,0,0
648,664,668,0,0,0
664,668,684,0,0,0
668,684,692,0,0,0
684,692,668,0,0,0
692,668,688,0,0,0
668,688,712,0,0,0
688,712,712,0,0,0
712,712,696,0,0,0
712,696,692,0,0,0
696,692,700,0,0,0
692,700,720,0,0,0
700,720,800,0,0,0
720,800,796,0,0,0
800,796,800,0,0,0
796,800,788,0,0,0
800,788,776,0,0,0
788,776,772,0,0,0
776,772,752,0,0,0
772,752,708,0,0,0
752,708,712,0,0,0
708,712,716,0,0,0
712,716,736,0,0,0
716,736,724,0,0,0
736,724,728,0,0,0
724,728,752,0,0,0
728,752,736,0,0,0
752,736,704,0,0,0
736,704,728,0,0,0
704,728,740,0,0,0
728,740,696,0,0,0
740,696,704,0,0,0
696,704,712,0,0,0
704,712,732,0,0,0
712,732,736,0,0,0
732,736,688,0,0,0
736,688,716,0,0,0
688,716,708,0,0,0
716,708,692,0,0,0
708,692,680,0,0,0
692,680,704,0,0,0
680,704,708,0,0,0
704,708,712,0,0,0
708,712,708,0,0,0
712,708,696,0,0,0
708,696,708,0,0,0
696,708,696,0,0,0
708,696,696,0,0,0
696,696,676,0,0,0
696,676,676,0,0,0
676,676,688,0,0,0
676,688,688,0,0,0
688,688,692,0,0,0
688,692,692,0,0,0
692,692,668,0,0,0
692,668,672,0,0,0
668,672,676,0,0,0
672,676,692,0,0,0
676,692,700,0,0,0
692,700,688,0,0,0
700,688,668,0,0,0
688,668,664,0,0,0
668,664,672,0,0,0
664,672,668,0,0,0
672,668,660,0,0,0
668,660,652,0,0,0
660,652,656,0,0,0
652,656,660,0,0,0
656,660,656,0,0,0
660,656,656,0,0,0
656,656,652,0,0,0
656,652,668,0,0,0
652,668,664,0,0,0
668,664,664,0,0,0
664,664,652,0,0,0
664,652,652,0,0,0
652,652,668,0,0,0
652,668,676,0,0,0
668,676,672,0,0,0
676,672,668,0,0,0
672,668,668,0,0,0
668,668,676,0,0,0
668,676,680,0,0,0
676,680,672,0,0,0
680,672,668,0,0,0
672,668,672,0,0,0
668,672,676,0,0,0
672,676,676,0,0,0
676,676,664,0,0,0
676,664,672,0,0,0
664,672,672,0,0,0
672,672,672,0,0,0
672,672,660,0,0,0
672,660,672,0,0,0
660,672,672,0,0,0
672,672,692,0,0,0
672,692,692,0,0,0
692,692,692,0,0,0
692,692,720,0,0,0
692,720,716,0,0,0
720,716,700,0,0,0
716,700,724,0,0,0
700,724,740,0,0,0
724,740,756,0,0,0
740,756,776,0,0,0
756,776,712,0,0,0
776,712,688,0,0,0
712,688,696,0,0,0
688,696,716,0,0,0
696,716,712,0,0,0
716,712,696,0,0,0
712,696,728,0,0,0
696,728,760,0,0,0
728,760,740,0,0,0
760,740,736,0,0,0
740,736,744,0,0,0
736,744,752,0,0,0
744,752,700,0,0,0
752,700,740,0,0,0
700,740,764,0,0,0
740,764,708,0,0,0
764,708,716,0,0,0
708,716,704,0,0,0
716,704,700,0,0,0
704,700,704,0,0,0
700,704,680,0,0,0
704,680,696,0,0,0
680,696,712,0,0,0
696,712,704,0,0,0
712,704,696,0,0,0
704,696,724,0,0,0
696,724,744,0,0,0
724,744,728,0,0,0
744,728,712,0,0,0
728,712,724,0,0,0
712,724,716,0,0,0
724,716,708,0,0,0
716,708,712,0,0,0
708,712,724,0,0,0
712,724,700,0,0,0
724,700,708,0,0,0
700,708,708,0,0,0
708,708,704,0,0,0
708,704,728,0,0,0
704,728,716,0,0,0
728,716,700,0,0,0
716,700,688,0,0,0
700,688,692,0,0,0
688,692,696,0,0,0
692,696,684,0,0,0
696,684,680,0,0,0
684,680,692,0,0,0
680,692,704,0,0,0
692,704,720,0,0,0
704,720,736,0,0,0
720,736,696,0,0,0
736,696,688,0,0,0
696,688,700,0,0,0
688,700,688,0,0,0
700,688,664,0,0,0
688,664,680,0,0,0
664,680,680,0,0,0
680,680,696,0,0,0
680,696,680,0,0,0
696,680,680,0,0,0
680,680,684,0,0,0
680,684,684,0,0,0
684,684,672,0,0,0
684,672,672,0,0,0
672,672,680,0,0,0
672,680,704,0,0,0
680,704,732,0,0,0
704,732,696,0,0,0
732,696,696,0,0,0
696,696,708,0,0,0
696,708,712,0,0,0
708,712,708,0,0,0
712,708,684,0,0,0
708,684,680,0,0,0
684,680,672,0,0,0
680,672,664,0,0,0
672,664,652,0,0,0
664,652,672,0,0,0
652,672,668,0,0,0
672,668,660,0,0,0
668,660,672,0,0,0
660,672,668,0,0,0
672,668,660,0,0,0
668,660,668,0,0,0
660,668,668,0,0,0
668,668,680,0,0,0
668,680,676,0,0,0
680,676,668,0,0,0
676,668,676,0,0,0
668,676,672,0,0,0
676,672,672,0,0,0
672,672,672,0,0,0
672,672,660,0,0,0
672,660,652,0,0,0
660,652,644,0,0,0
652,644,640,0,0,0
644,640,644,0,0,0
640,644,644,0,0,0
644,644,640,0,0,0
644,640,636,0,0,0
640,636,632,0,0,0
636,632,652,0,0,0
632,652,656,0,0,0
652,656,640,0,0,0
656,640,636,0,0,0
640,636,644,0,0,0
636,644,648,0,0,0
644,648,648,0,0,0
648,648,648,0,0,0
648,648,660,0,0,0
648,660,652,0,0,0
660,652,648,0,0,0
652,648,644,0,0,0
648,644,640,0,0,0
644,640,644,0,0,0
640,644,656,0,0,0
644,656,664,0,0,0
656,664,664,0,0,0
664,664,668,0,0,0
664,668,680,0,0,0
668,680,680,0,0,0
680,680,656,0,0,0
680,656,660,0,0,0
656,660,664,0,0,0
660,664,680,0,0,0
664,680,700,0,0,0
680,700,696,0,0,0
700,696,688,0,0,0
696,688,676,0,0,0
688,676,704,0,0,0
676,704,716,0,0,0
704,716,708,0,0,0
716,708,744,0,0,0
708,744,728,0,0,0
744,728,720,0,0,0
728,720,716,0,0,0
720,716,724,0,0,0
716,724,736,0,0,0
724,736,716,0,0,0
736,716,736,0,0,0
716,736,756,0,0,0
736,756,812,0,0,0
756,812,820,0,0,0
812,820,796,0,0,0
820,796,796,0,0,0
796,796,836,0,0,0
796,836,836,0,0,0
836,836,752,0,0,0
836,752,740,0,0,0
752,740,756,0,0,0
740,756,764,0,0,0
756,764,732,0,0,0
764,732,728,0,0,0
732,728,804,0,0,0
728,804,816,0,0,0
804,816,772,0,0,0
816,772,740,0,0,0
772,740,812,0,0,0
740,812,848,0,0,0
812,848,852,0,0,0
848,852,820,0,0,0
852,820,756,0,0,0
820,756,856,0,0,0
756,856,800,0,0,0
856,800,816,0,0,0
800,816,860,0,0,0
816,860,864,0,0,0
860,864,900,0,0,0
864,900,892,0,0,0
900,892,856,0,0,0
892,856,836,0,0,0
856,836,832,0,0,0
836,832,792,0,0,0
832,792,788,0,0,0
792,788,788,0,0,0
788,788,772,0,0,0
788,772,796,0,0,0
772,796,780,0,0,0
796,780,808,0,0,0
780,808,832,0,0,0
808,832,844,0,0,0
832,844,844,0,0,0
844,844,816,0,0,0
844,816,828,0,0,0
816,828,820,0,0,0
828,820,796,0,0,0
820,796,788,0,0,0
796,788,784,0,0,0
788,784,764,0,0,0
784,764,760,0,0,0
764,760,768,0,0,0
760,768,804,0,0,0
768,804,812,0,0,0
804,812,760,0,0,0
812,760,816,0,0,0
760,816,788,0,0,0
816,788,744,0,0,0
788,744,744,0,0,0
744,744,728,0,0,0
744,728,712,0,0,0
728,712,744,0,0,0
712,744,756,0,0,0
744,756,740,0,0,0
756,740,724,0,0,0
740,724,828,0,0,0
724,828,856,0,0,0
828,856,780,0,0,0
856,780,736,0,0,0
780,736,748,0,0,0
736,748,752,0,0,0
748,752,732,0,0,0
752,732,748,0,0,0
732,748,736,0,0,0
748,736,728,0,0,0
736,728,720,0,0,0
728,720,720,0,0,0
720,720,764,0,0,0
720,764,768,0,0,0
