229
seria 1: 1870, min: 0, max: 1397264
42, e, 19836
42, s, 27400
42, e, 32328
42, s, 30020
42, e, 34940
42, s, 47036
42, e, 51956
seria 43: 90, min: 0, max: 57724
43, s, 6100
43, e, 10996
43, s, 9348
43, e, 14240
43, s, 15840
43, e, 20740
43, s, 45276
43, e, 50160
43, s, 49160
43, e, 53944
seria 44: 135, min: 0, max: 86416
44, s, 2804
44, e, 7616
44, s, 16780
44, e, 21672
44, s, 19376
44, e, 24224
44, s, 53780
44, e, 58696
44, s, 68812
44, e, 73644
seria 45: 131, min: 0, max: 84364
45, s, 10760
45, e, 15668
45, s, 48828
45, e, 53604
45, s, 52604
45, e, 57492
45, s, 57788
45, e, 62628
45, s, 61628
45, e, 66416
seria 46: 163, min: 0, max: 104916
46, s, 16764
46, e, 21648
46, s, 76804
46, e, 81716
46, s, 94364
46, e, 99124
46, s, 96876
46, e, 101680
seria 47: 77, min: 0, max: 48028
47, s, 2240
47, e, 7124
47, s, 5476
47, e, 10360
47, s, 11272
47, e, 16100
47, s, 18292
47, e, 23088
47, s, 23344
47, e, 28060
47, s, 31364
47, e, 36084
seria 48: 90, min: 0, max: 47552
48, s, 19392
48, e, 23484
48, s, 25592
48, e, 29704
48, s, 33380
48, e, 37540
48, s, 38652
48, e, 42836
seria 49: 100, min: 0, max: 55016
49, s, 5300
49, e, 9448
49, s, 13688
49, e, 17840
49, s, 16312
49, e, 20476
49, s, 29524
49, e, 33692
seria 51: 80, min: 0, max: 41412
51, s, 17992
51, e, 22160
51, s, 27464
51, e, 31628
seria 52: 95, min: 0, max: 50556
52, s, 28448
52, e, 32588
52, s, 32112
52, e, 36256
52, s, 38416
52, e, 42592
seria 53: 87, min: 0, max: 45204
53, s, 6988
53, e, 11204
53, s, 15016
53, e, 19192
53, s, 26020
53, e, 30152
53, s, 31764
53, e, 35880
seria 54: 145, min: 0, max: 78188
54, s, 7308
54, e, 11436
54, s, 10964
54, e, 15120
54, s, 18324
54, e, 22496
54, s, 52868
54, e, 57052
seria 55: 163, min: 0, max: 88388
55, s, 19612
55, e, 23824
55, s, 26044
55, e, 30272
55, s, 41624
55, e, 45840
55, s, 46988
55, e, 51208
55, s, 58832
55, e, 63040
55, s, 60972
55, e, 65188
seria 57: 96, min: 0, max: 52112
57, s, 11552
57, e, 15812
57, s, 24568
57, e, 28816
57, s, 37580
57, e, 41804
57, s, 44576
57, e, 48836
seria 58: 41, min: 0, max: 21556
58, s, 7680
58, e, 11920
58, s, 10380
58, e, 14596
seria 59: 108, min: 0, max: 58376
59, s, 4312
59, e, 8540
59, s, 27272
59, e, 31584
59, s, 36096
59, e, 40388
59, s, 38292
59, e, 42568
59, s, 50304
59, e, 54568
seria 60: 174, min: 0, max: 91352
60, s, 3396
60, e, 7672
60, s, 22412
60, e, 26680
60, s, 49484
60, e, 53660
60, s, 83496
60, e, 87652
seria 61: 201, min: 0, max: 108648
61, s, 2152
61, e, 6304
61, s, 21624
61, e, 25784
61, s, 69572
61, e, 73896
61, s, 83928
61, e, 88204
seria 62: 169, min: 0, max: 94180
62, s, 17368
62, e, 21712
62, s, 27376
62, e, 31728
62, s, 46388
62, e, 50748
62, s, 60376
62, e, 64756
62, s, 69384
62, e, 73748
62, s, 78396
62, e, 82796
seria 63: 131, min: 0, max: 73128
63, s, 10684
63, e, 15052
63, s, 24688
63, e, 29056
63, s, 37668
63, e, 42060
63, s, 59672
63, e, 64068
seria 64: 101, min: 0, max: 56472
64, s, 7996
64, e, 12388
64, s, 29004
64, e, 33396
64, s, 38020
64, e, 42404
64, s, 47028
64, e, 51408
seria 65: 94, min: 0, max: 52492
65, s, 4004
65, e, 8384
65, s, 9672
65, e, 14124
65, s, 11976
65, e, 16400
65, s, 43008
65, e, 47404
seria 66: 104, min: 0, max: 58384
66, s, 2952
66, e, 7348
66, s, 16572
66, e, 20940
66, s, 33980
66, e, 38408
66, s, 37984
66, e, 42420
66, s, 45992
66, e, 50392
seria 67: 93, min: 0, max: 51992
67, s, 7496
67, e, 11908
67, s, 16036
67, e, 20416
67, s, 21084
67, e, 25424
67, s, 37432
67, e, 41812
seria 68: 106, min: 0, max: 59784
68, s, 8512
68, e, 12904
68, s, 20304
68, e, 24688
68, s, 26520
68, e, 30932
68, s, 37480
68, e, 41968
68, s, 46716
68, e, 51168
seria 69: 138, min: 0, max: 78328
69, s, 7140
69, e, 11604
69, s, 23176
69, e, 27596
69, s, 27172
69, e, 31600
69, s, 60240
69, e, 64644
69, s, 64212
69, e, 68644
69, s, 68216
69, e, 72616
seria 70: 137, min: 0, max: 78036
70, s, 5240
70, e, 9628
70, s, 13740
70, e, 18140
70, s, 17712
70, e, 22176
70, s, 39116
70, e, 43576
seria 71: 187, min: 0, max: 108748
71, s, 34120
71, e, 38608
71, s, 48120
71, e, 52644
71, s, 61132
71, e, 65644
71, s, 99800
71, e, 104192
seria 72: 139, min: 0, max: 80568
72, s, 1872
72, e, 6328
72, s, 12864
72, e, 17336
72, s, 27316
72, e, 31788
72, s, 66872
72, e, 71356
seria 73: 76, min: 0, max: 43524
73, s, 6576
73, e, 11020
73, s, 11748
73, e, 16228
73, s, 17552
73, e, 22040
seria 74: 56, min: 0, max: 31980
74, s, 1884
74, e, 6364
74, s, 5364
74, e, 9864
74, s, 14636
74, e, 19144
74, s, 21656
74, e, 26144
seria 75: 128, min: 0, max: 76188
75, s, 3104
75, e, 7636
75, s, 10192
75, e, 14772
75, s, 43124
75, e, 47612
75, s, 61136
75, e, 65648
seria 76: 210, min: 0, max: 121040
76, s, 8372
76, e, 12864
76, s, 25352
76, e, 29868
76, s, 68236
76, e, 72668
seria 77: 249, min: 0, max: 144864
77, s, 28844
77, e, 33304
77, s, 81348
77, e, 85800
77, s, 88852
77, e, 93336
77, s, 118880
77, e, 123340
77, s, 125252
77, e, 129732
77, s, 129896
77, e, 134376
77, s, 136864
77, e, 141376
seria 78: 69, min: 0, max: 39020
78, s, 2472
78, e, 6944
78, s, 9464
78, e, 13956
78, s, 15272
78, e, 19736
78, s, 20468
78, e, 24960
seria 79: 86, min: 0, max: 49440
79, s, 11852
79, e, 16384
79, s, 16548
79, e, 21072
79, s, 25892
79, e, 30332
79, s, 29904
79, e, 34364
seria 80: 72, min: 0, max: 41396
80, s, 11876
80, e, 16368
80, s, 18868
80, e, 23396
80, s, 22396
80, e, 26940
80, s, 28872
80, e, 33380
seria 82: 135, min: 0, max: 70116
82, s, -1000
82, e, 3276
82, s, 13288
82, e, 17632
82, s, 19884
82, e, 24064
82, s, 38904
82, e, 43028
82, s, 61848
82, e, 65972
seria 84: 70, min: 0, max: 37672
84, s, 1656
84, e, 5856
84, s, 9140
84, e, 13348
84, s, 12884
84, e, 17092
84, s, 22568
84, e, 26828
84, s, 26916
84, e, 31168
84, s, 29084
84, e, 33336
seria 85: 130, min: 0, max: 71052
85, s, 2728
85, e, 6884
85, s, 15888
85, e, 20100
85, s, 51720
85, e, 55956
85, s, 58744
85, e, 62988
seria 86: 84, min: 0, max: 45208
86, s, 7140
86, e, 11396
86, s, 13124
86, e, 17416
86, s, 23556
86, e, 27808
86, s, 31148
86, e, 35408
seria 87: 181, min: 0, max: 99032
87, s, 16864
87, e, 21124
87, s, 83852
87, e, 88164
87, s, 89908
87, e, 94180
seria 88: 163, min: 0, max: 87024
88, s, 3328
88, e, 7592
88, s, 37952
88, e, 42104
88, s, 47436
88, e, 51592
88, s, 57416
88, e, 61596
seria 89: 179, min: 0, max: 97792
89, s, 22844
89, e, 27084
89, s, 40832
89, e, 45128
89, s, 57852
89, e, 62088
89, s, 63824
89, e, 68120
seria 90: 240, min: 0, max: 126688
90, s, -460
90, e, 3828
90, s, 28116
90, e, 32452
90, s, 71668
90, e, 75752
90, s, 111572
90, e, 115704
90, s, 113660
90, e, 117800
seria 91: 122, min: 0, max: 63784
91, s, 17768
91, e, 21904
91, s, 27732
91, e, 31892
91, s, 31940
91, e, 36116
91, s, 40928
91, e, 45108
91, s, 45696
91, e, 49872
91, s, 49936
91, e, 54120
91, s, 53656
91, e, 57856
91, s, 57932
91, e, 62164
seria 92: 99, min: 0, max: 52744
92, s, 612
92, e, 4832
92, s, 3292
92, e, 7524
92, s, 18816
92, e, 23012
92, s, 32640
92, e, 36836
92, s, 39632
92, e, 43844
seria 93: 80, min: 0, max: 42228
93, s, 7352
93, e, 11516
93, s, 25360
93, e, 29544
seria 96: 100, min: 0, max: 56036
96, s, 4676
96, e, 9064
96, s, 10904
96, e, 15324
96, s, 14892
96, e, 19308
96, s, 23956
96, e, 28272
96, s, 35124
96, e, 39492
96, s, 37932
96, e, 42316
96, s, 43584
96, e, 48012
96, s, 47584
96, e, 52016
seria 97: 106, min: 0, max: 60268
97, s, 1320
97, e, 5780
97, s, 21336
97, e, 25740
97, s, 52344
97, e, 56804
seria 99: 128, min: 0, max: 73532
99, s, 10516
99, e, 14996
99, s, 20316
99, e, 24748
99, s, 44524
99, e, 49020
99, s, 64608
99, e, 68988
seria 100: 73, min: 0, max: 41424
100, s, 3584
100, e, 8012
100, s, 10472
100, e, 14932
100, s, 26536
100, e, 30992
100, s, 33468
100, e, 37940
seria 101: 99, min: 0, max: 56692
101, s, 2476
101, e, 6924
101, s, 17472
101, e, 21948
101, s, 28480
101, e, 32956
101, s, 43520
101, e, 47980
101, s, 46404
101, e, 50872
seria 102: 86, min: 0, max: 49204
102, s, 4252
102, e, 8700
102, s, 15228
102, e, 19708
102, s, 26228
102, e, 30708
102, s, 37252
102, e, 41712
seria 103: 170, min: 0, max: 98336
103, s, 6480
103, e, 10924
103, s, 28452
103, e, 32948
103, s, 60528
103, e, 64932
103, s, 73528
103, e, 77928
103, s, 78628
103, e, 83016
103, s, 83716
103, e, 88120
seria 104: 135, min: 0, max: 79212
104, s, 8668
104, e, 13072
104, s, 12648
104, e, 17096
104, s, 51632
104, e, 56088
104, s, 66648
104, e, 71136
seria 107: 1321, min: 0, max: 382356
107, s, 1868
107, e, 6352
107, s, 29228
107, e, 33704
107, s, 74520
107, e, 78872
107, s, 84360
107, e, 88620
seria 108: 1327, min: 0, max: 391756
108, s, 293352
108, e, 297964
108, s, 350884
108, e, 355404
108, s, 371932
108, e, 376420
108, s, 381892
108, e, 386432
seria 109: 807, min: 0, max: 251248
109, s, 2544
109, e, 7080
109, s, 192704
109, e, 197124
109, s, 196696
109, e, 201116
seria 110: 125, min: 0, max: 77840
110, s, 22624
110, e, 27252
110, s, 43784
110, e, 48604
110, s, 56072
110, e, 60900
110, s, 66980
110, e, 71984
110, s, 69660
110, e, 74608
seria 111: 154, min: 0, max: 99564
111, s, 1516
111, e, 6352
111, s, 8532
111, e, 13268
111, s, 18484
111, e, 23268
111, s, 21012
111, e, 25736
111, s, 24120
111, e, 28832
seria 112: 149, min: 0, max: 99680
112, s, 53900
112, e, 58812
112, s, 56516
112, e, 61408
112, s, 71512
112, e, 76312
112, s, 82452
112, e, 87364
112, s, 87004
112, e, 91760
seria 113: 184, min: 0, max: 126276
113, s, 4968
113, e, 10080
113, s, 42752
113, e, 47736
113, s, 51996
113, e, 56908
113, s, 71140
113, e, 76136
113, s, 112636
113, e, 117564
113, s, 119276
113, e, 124356
seria 115: 198, min: 0, max: 131040
115, s, 944
115, e, 6024
115, s, 31852
115, e, 36932
115, s, 108796
115, e, 113696
115, s, 119588
115, e, 124460
seria 116: 233, min: 0, max: 156440
116, s, 8068
116, e, 13004
116, s, 32488
116, e, 37480
116, s, 107868
116, e, 112824
116, s, 119744
116, e, 124888
116, s, 123888
116, e, 129008
seria 117: 110, min: 0, max: 75048
117, s, 31008
117, e, 35956
117, s, 49888
117, e, 54816
117, s, 55128
117, e, 59956
117, s, 59596
117, e, 64472
seria 118: 135, min: 0, max: 88900
118, s, 8880
118, e, 13748
118, s, 15316
118, e, 20172
118, s, 27680
118, e, 32652
118, s, 46760
118, e, 51696
118, s, 57300
118, e, 62196
seria 119: 152, min: 0, max: 99220
119, s, 36068
119, e, 40928
119, s, 47788
119, e, 52592
119, s, 82460
119, e, 87388
119, s, 85740
119, e, 90688
seria 120: 331, min: 0, max: 222032
120, s, 6264
120, e, 11228
120, s, 54048
120, e, 59028
120, s, 65996
120, e, 70836
120, s, 198184
120, e, 203116
120, s, 208108
120, e, 213148
seria 121: 56, min: 0, max: 36080
121, s, 7492
121, e, 12404
121, s, 13372
121, e, 18264
121, s, 17916
121, e, 22868
121, s, 21220
121, e, 26124
seria 122: 198, min: 0, max: 124528
122, s, 9656
122, e, 14564
122, s, 62040
122, e, 67036
122, s, 85540
122, e, 90420
122, s, 90064
122, e, 94844
seria 123: 248, min: 0, max: 150100
123, s, 26680
123, e, 31612
123, s, 73264
123, e, 77924
123, s, 95836
123, e, 100568
123, s, 113476
123, e, 118560
123, s, 141176
123, e, 146156
seria 124: 199, min: 0, max: 130088
124, s, 29688
124, e, 34644
124, s, 43644
124, e, 48668
124, s, 46344
124, e, 51300
124, s, 113380
124, e, 118352
seria 125: 81, min: 0, max: 53276
125, s, 11612
125, e, 16640
125, s, 24324
125, e, 29216
125, s, 34644
125, e, 39528
125, s, 44224
125, e, 48972
seria 126: 32, min: 0, max: 19792
126, s, 2732
126, e, 7584
126, s, 5288
126, e, 10160
126, s, 12340
126, e, 17144
seria 127: 1632, min: 0, max: 738672
127, s, 568844
127, e, 574128
127, s, 571708
127, e, 576952
127, s, 612232
127, e, 617520
127, s, 676796
127, e, 682060
127, s, 728544
127, e, 733808
seria 128: 175, min: 0, max: 116460
128, s, 3944
128, e, 9228
128, s, 33100
128, e, 38404
128, s, 57988
128, e, 63292
seria 129: 187, min: 0, max: 126284
129, s, 25984
129, e, 31048
129, s, 51908
129, e, 57112
129, s, 58916
129, e, 64120
129, s, 83120
129, e, 88420
129, s, 118916
129, e, 124164
seria 130: 58, min: 0, max: 41868
130, s, 1884
130, e, 7232
130, s, 5508
130, e, 10856
130, s, 9856
130, e, 15260
130, s, 24992
130, e, 30312
130, s, 32920
130, e, 38244
seria 131: 189, min: 0, max: 112240
131, s, 28152
131, e, 33376
131, s, 73216
131, e, 78536
seria 132: 3085, min: 0, max: 1868576
132, s, 20048
132, e, 24496
132, s, 24072
132, e, 28504
132, s, 43508
132, e, 47908
132, s, 53120
132, e, 57520
132, s, 56520
132, e, 60936
132, s, 88176
132, e, 92480
132, s, 98168
132, e, 102548
132, s, 107144
132, e, 111536
132, s, 109400
132, e, 113808
132, s, 123120
132, e, 127636
132, s, 128312
132, e, 132776
132, s, 149784
132, e, 154324
132, s, 210528
132, e, 215036
132, s, 218148
132, e, 222680
132, s, 262024
132, e, 266580
132, s, 277504
132, e, 282084
132, s, 286460
132, e, 291060
132, s, 289464
132, e, 294072
132, s, 302692
132, e, 307304
132, s, 306908
132, e, 311512
132, s, 309908
132, e, 314508
132, s, 320148
132, e, 324744
132, s, 326152
132, e, 330732
132, s, 336916
132, e, 341488
132, s, 384032
132, e, 388628
132, s, 386428
132, e, 391020
132, s, 394232
132, e, 398856
132, s, 452508
132, e, 457092
132, s, 463252
132, e, 467840
132, s, 466248
132, e, 470828
132, s, 504572
132, e, 509116
132, s, 601320
132, e, 605892
132, s, 607852
132, e, 612416
132, s, 654008
132, e, 658608
132, s, 664212
132, e, 668816
132, s, 667216
132, e, 671812
132, s, 670208
132, e, 674796
132, s, 673208
132, e, 677780
132, s, 679732
132, e, 684260
132, s, 696712
132, e, 701236
132, s, 699064
132, e, 703604
132, s, 726084
132, e, 730608
132, s, 733124
132, e, 737676
132, s, 752092
132, e, 756628
132, s, 797548
132, e, 802036
132, s, 839904
132, e, 844452
132, s, 850464
132, e, 854952
132, s, 857468
132, e, 861984
132, s, 876856
132, e, 881372
132, s, 880372
132, e, 884912
132, s, 923792
132, e, 928316
132, s, 932592
132, e, 937168
132, s, 956200
132, e, 960740
132, s, 975048
132, e, 979540
132, s, 982588
132, e, 987020
132, s, 986592
132, e, 991028
132, s, 997640
132, e, 1002164
132, s, 1002912
132, e, 1007392
132, s, 1037272
132, e, 1041768
132, s, 1049508
132, e, 1054084
132, s, 1051892
132, e, 1056456
132, s, 1056040
132, e, 1060568
132, s, 1059568
132, e, 1064100
132, s, 1064864
132, e, 1069396
132, s, 1097924
132, e, 1102496
132, s, 1114584
132, e, 1119140
132, s, 1116956
132, e, 1121516
132, s, 1181280
132, e, 1185836
132, s, 1228192
132, e, 1232716
132, s, 1249692
132, e, 1254184
132, s, 1256680
132, e, 1261172
132, s, 1268384
132, e, 1272896
132, s, 1273660
132, e, 1278204
132, s, 1279580
132, e, 1284168
132, s, 1345668
132, e, 1350280
132, s, 1352904
132, e, 1357536
132, s, 1355324
132, e, 1359944
132, s, 1378700
132, e, 1383312
132, s, 1381716
132, e, 1386316
132, s, 1384716
132, e, 1389296
132, s, 1387704
132, e, 1392308
132, s, 1390700
132, e, 1395320
132, s, 1394320
132, e, 1398996
132, s, 1417780
132, e, 1422400
132, s, 1437712
132, e, 1442328
132, s, 1440732
132, e, 1445344
132, s, 1449192
132, e, 1453828
132, s, 1452220
132, e, 1456860
132, s, 1469188
132, e, 1473796
132, s, 1514628
132, e, 1519224
132, s, 1573140
132, e, 1577752
132, s, 1638348
132, e, 1642960
132, s, 1658320
132, e, 1662940
132, s, 1669184
132, e, 1673804
132, s, 1678280
132, e, 1682924
132, s, 1683748
132, e, 1688396
132, s, 1703204
132, e, 1707840
132, s, 1711692
132, e, 1716344
132, s, 1716556
132, e, 1721168
132, s, 1731560
132, e, 1736128
132, s, 1746428
132, e, 1751020
132, s, 1795052
132, e, 1799676
132, s, 1854216
132, e, 1858880
132, s, 1856660
132, e, 1861320
seria 133: 47, min: 0, max: 28392
133, s, 6212
133, e, 10828
133, s, 9232
133, e, 13844
133, s, 12236
133, e, 16868
133, s, 20736
133, e, 25372
seria 134: 124, min: 0, max: 75892
134, s, 46072
134, e, 50668
seria 136: 623, min: 0, max: 332940
136, s, 5448
136, e, 9732
136, s, 19728
136, e, 24004
136, s, 27412
136, e, 31680
136, s, 64816
136, e, 69132
136, s, 129420
136, e, 133768
136, s, 290380
136, e, 294684
seria 137: 1336, min: 0, max: 756148
137, s, 36580
137, e, 40924
137, s, 106420
137, e, 110800
137, s, 661944
137, e, 666148
137, s, 676908
137, e, 681148
137, s, 681772
137, e, 686076
137, s, 737760
137, e, 742056
seria 138: 232, min: 0, max: 123612
138, s, 73112
138, e, 77500
138, s, 94760
138, e, 99204
138, s, 97052
138, e, 101516
138, s, 102252
138, e, 106716
seria 139: 175, min: 0, max: 100620
139, s, 36900
139, e, 41352
139, s, 72896
139, e, 77372
139, s, 90924
139, e, 95396
139, s, 93820
139, e, 98296
seria 140: 170, min: 0, max: 98220
140, s, 728
140, e, 5176
140, s, 39040
140, e, 43544
140, s, 74456
140, e, 78948
140, s, 81440
140, e, 85944
140, s, 83772
140, e, 88284
seria 143: 90, min: 0, max: 53024
143, s, 6108
143, e, 10680
143, s, 13856
143, e, 18424
143, s, 16828
143, e, 21420
143, s, 19816
143, e, 24456
143, s, 31832
143, e, 36424
143, s, 36612
143, e, 41200
143, s, 40200
143, e, 44768
seria 144: 71, min: 0, max: 41348
144, s, 7256
144, e, 11836
144, s, 10240
144, e, 14820
144, s, 14404
144, e, 18952
144, s, 26268
144, e, 30800
144, s, 30384
144, e, 34904
144, s, 33320
144, e, 37816
seria 145: 74, min: 0, max: 42780
145, s, 1904
145, e, 6404
145, s, 5404
145, e, 9888
145, s, 10044
145, e, 14516
145, s, 19452
145, e, 23908
145, s, 22908
145, e, 27380
145, s, 35840
145, e, 40404
seria 146: 230, min: 0, max: 158632
146, s, 102252
146, e, 107008
seria 147: 199, min: 0, max: 114348
147, s, 1308
147, e, 5732
147, s, 12504
147, e, 16752
147, s, 73608
147, e, 78068
147, s, 87656
147, e, 91960
seria 148: 358, min: 0, max: 226822
148, s, 4008
148, e, 8008
148, s, 19692
148, e, 23964
148, s, 94934
148, e, 99566
148, s, 181614
148, e, 186158
seria 149: 314, min: 0, max: 190432
149, s, 38164
149, e, 42824
149, s, 81024
149, e, 85584
149, s, 167772
149, e, 172368
seria 150: 499, min: 0, max: 330484
150, s, 20868
150, e, 25328
150, s, 24908
150, e, 29344
seria 151: 211, min: 0, max: 180384
151, s, 74832
151, e, 81224
151, s, 96872
151, e, 103220
151, s, 151828
151, e, 158020
151, s, 165564
151, e, 171752
seria 152: 114, min: 0, max: 88796
152, s, 3460
152, e, 9752
152, s, 8752
152, e, 15000
152, s, 31512
152, e, 37640
152, s, 38356
152, e, 44472
seria 153: 144, min: 0, max: 125516
153, s, 51064
153, e, 57176
153, s, 67212
153, e, 73540
153, s, 86916
153, e, 92960
seria 155: 425, min: 0, max: 305128
155, s, 6548
155, e, 12608
155, s, 12456
155, e, 18432
155, s, 15776
155, e, 21768
155, s, 21572
155, e, 27548
155, s, 35536
155, e, 41132
155, s, 95548
155, e, 101820
155, s, 101732
155, e, 107980
155, s, 105224
155, e, 111500
seria 156: 1187, min: 0, max: 778872
156, s, 34352
156, e, 40660
156, s, 196572
156, e, 202544
156, s, 247552
156, e, 253772
156, s, 296508
156, e, 302796
156, s, 361960
156, e, 368148
156, s, 372388
156, e, 378344
156, s, 596444
156, e, 601948
seria 158: 345, min: 0, max: 278756
158, s, -192
158, e, 5916
158, s, 20364
158, e, 26492
158, s, 47436
158, e, 53508
158, s, 96864
158, e, 102932
158, s, 132400
158, e, 138420
158, s, 182936
158, e, 188944
158, s, 238500
158, e, 244688
158, s, 260248
